8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,3252300,3526130,3077490,3341420,3245740,3493060,3436980,3566780,3321320,3744630,3418290,3409630,3399800,3379490,3401730,3220160,2811250,3297910,3142320,3094550,3033020,3244840,
B,,3002430,3039910,2995960,3088860,3319190,3076210,3122350,3344780,3243970,3379140,3963360,3316690,3228030,2986470,3167620,2862180,3341280,3053510,3398740,2810760,3151110,2956750,
C,,2975000,2910580,299880,2944730,2934090,2911200,3105780,3188040,3162050,3040490,2778770,2959430,3076210,3136140,2891370,2878460,174530,2986320,3286400,2832670,1784820,3133050,
D,,3239090,3343350,3178310,3342010,3314060,2955510,3614770,3188920,3340220,2933000,3552980,3105770,3445380,2901270,3325120,3132450,199020,3001660,3230950,2871660,3510640,2805530,
E,,3635240,3275450,3614360,3257290,3250230,3376530,3447220,3830400,3311670,3638390,3213430,3627880,3510780,3342560,1720310,1261530,3339790,2865900,3344750,3233810,8161330,3197480,
F,,3485510,2905520,3187770,3007820,3176160,3138320,3120170,3012140,3307200,3084200,3209120,2823910,3007350,3061030,3035790,3011980,2906450,2965450,3619050,2842660,3067480,2804140,
G,,2972640,3202830,3187820,1512790,3818880,3249390,1180960,3358030,3114710,3638880,3119850,3232910,2956330,3151100,2974490,3494380,2928540,3745310,3098150,3027610,3071120,3000890,
H,,3234570,3208350,4392960,3151480,3588590,2937120,4085820,3355750,2996200,2855650,3514940,2943020,3141390,3101770,2919850,2916960,3427770,3240680,4234000,2990440,2912410,3010020,
I,,2999320,3384030,2681030,3377180,2940940,3436190,3456040,3452680,3220590,3759480,3275300,3524150,3100640,3219860,3129360,3105920,3113940,3480520,3045600,3268770,3117820,3186480,
J,,3157820,3399520,3337340,3261220,3064500,3202700,3129160,3060260,3186290,2988900,3215160,2953300,3461140,3134810,3160220,3116770,3056410,3165350,3470050,3241730,3080760,2807700,
K,,3046290,3292640,2886570,3107210,3051330,3515730,3202370,3099440,3080240,3246290,3206910,3677990,3161050,3187590,2994770,2490300,3531970,3123840,3050580,3764460,2943340,3006060,
L,,3098260,3406890,3238080,2848300,2768110,3265830,3070910,3102970,3314770,2940310,3347780,2979970,3186820,2925950,3694030,2900580,3209210,2960850,3075490,2791400,3165910,2833400,
M,,3182250,3244650,3041170,3344070,2892280,3276810,3323000,3012540,2883270,3401350,3123730,3381760,3203660,3203990,2867040,3232020,2741880,3337990,3088760,3282420,2871260,3171150,
N,,3086740,2999470,3477700,2906780,3819230,2982520,4718250,3309390,3559990,3044440,3630860,2489210,3818840,2840920,2998110,2958090,3062320,2847900,3407320,3041670,3509910,2949710,
O,,3058170,2933730,3041730,3233630,3190480,3258380,3264910,4396800,2217180,3522210,2928960,3602910,3115590,3469330,2995360,3314210,2804580,2840540,2925670,3063900,2491340,3286290,
P,,3700910,3409250,3188930,3708450,3282020,3494100,3921590,3707740,3493400,3583700,4177480,3668710,3499070,3243750,3337760,3313370,3351850,3191950,3479630,3462630,3281600,3520650,
,,,,,,,,,,,,,,,,,,,,,,,,
,Average,3195408.75,3126271.25,3179008.25,3187680,,,,,,,,,,,,,,,,,,3057133.75,
,SD,220457.0955,220621.1236,,,,,,,,,,,,,,,,,,,,197954.6452,
,%CV,6.899182946,7.057005165,,,,,,,,,,,,,,,,,,,,6.475171236,
,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,2,2--2,3,3--2,4,4--2,5,5--2,6,6--2,7,7--2,8,8--2,9,9--2,10,10--2,11,11--2,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,A,A,-10.34988873,3.690255589,-4.569407591,-1.575111478,-9.314966356,-7.559948316,-11.62202645,-3.940380084,-17.18782456,-6.97504662,-6.704032778,-6.396403903,-5.760804467,-6.456803062,-0.774587915,12.02220999,-3.207766456,1.661407167,3.156364581,5.08193983,,
,2A,B,4.866317963,6.241728856,3.334432567,-3.873721946,3.730313062,2.286366337,-4.674558458,-1.519719504,-5.749851251,-24.03295822,-3.795484693,-1.020878784,6.538717465,0.869646176,10.42836069,-4.565026305,4.440707312,-6.363231308,12.03754449,1.386324989,,
,B,C,8.91368749,90.61528513,7.844966626,8.177944371,8.894284651,2.804922844,0.230604301,1.043958774,4.848166921,13.03866837,7.384931583,3.730313062,1.854809655,9.514862535,9.918879705,94.53810096,6.5434117,-2.847562147,11.35187321,44.14423507,,
,2B,D,-4.62980675,0.535103686,-4.587871583,-3.713179104,7.507607595,-13.12386874,0.203064788,-4.53185371,8.212055813,-11.19015681,2.805235793,-7.822825484,9.205043017,-4.059300708,1.970287839,93.77168883,6.063347921,-1.112259895,10.13168503,-9.865130713,,
,C,E,-2.504882982,-13.11103783,-1.936567583,-1.715625583,-5.66817156,-7.880408101,-19.87198821,-3.638384291,-13.8630543,-0.563973232,-13.53414489,-9.869511999,-4.605083778,46.16306912,60.52054373,-4.518396903,10.31194366,-4.673619611,-1.201763311,-155.4080131,,
,2C,F,9.072039688,0.239053924,5.870571331,0.602387723,1.786586771,2.354589221,5.73537736,-3.498496084,3.480266805,-0.429092209,11.62601655,5.885279935,4.205369657,4.995252955,5.740384544,9.04293543,7.19653628,-13.25781091,11.03923716,4.003517547,,
,D,G,-0.232247283,0.237489179,52.65738695,-19.51147095,-1.689337866,63.04197389,-5.089215895,2.52545938,-13.8783888,2.364603589,-1.1735979,7.481945776,1.386637938,6.913630377,-9.356275625,8.351631071,-17.20910509,3.043702938,5.251245244,3.889604108,,
,2D,H,-0.404995136,-37.47724763,1.374745876,-12.30456823,8.083120821,-27.86533178,-5.017863521,6.234218079,10.63271639,-9.999698787,7.898480906,1.690511425,2.930415397,8.623583759,8.714026022,-7.27172228,-1.41675928,-32.50261019,6.414476708,8.856417821,,
,E,I,-5.902883317,16.09743198,-5.688513246,7.9635743,-7.535225345,-8.156429127,-8.05127826,-0.788044722,-17.65255384,-2.500188747,-10.28792482,2.965778635,-0.765199444,2.066989082,2.800541558,2.549556453,-8.922528299,4.688249977,-2.295833045,2.428132238,,
,2E,J,-6.387641331,-4.441724396,-2.059556543,4.096776351,-0.228178946,2.073248063,4.229466731,0.285370377,6.462670855,-0.61811341,7.576769326,-8.316033121,1.896431873,1.101228442,2.460991884,4.349952099,0.940685601,-8.594870688,-1.449618926,3.587921264,,
,F,K,-3.042842328,9.665078059,2.760171136,4.508930196,-10.02442176,-0.217851629,3.003332516,3.604194612,-1.592323674,-0.359930478,-15.10233237,1.075253675,0.244687006,6.278969788,22.06630842,-10.53265095,2.239736935,4.532401371,-17.80840245,7.888466538,,
,2F,L,-6.61828475,-1.335392538,10.86273391,13.37227201,-2.203826036,3.896176037,2.892861516,-3.735398484,7.983290088,-4.768443161,6.74213432,0.26878408,8.432684864,-15.60430258,9.226636498,-0.43190875,7.340492824,3.752845391,12.64341377,0.923160456,,
,G,M,-1.541000036,4.826886388,-4.652339079,9.486384175,-2.547444048,-3.992955518,5.722859399,9.768351232,-6.444910999,2.243179374,-5.831843892,-0.258222051,-0.268549368,10.27626747,-1.145745439,14.19313726,-4.462066082,3.337562057,-2.723008441,10.14420299,,
,2G,N,6.131883754,-8.834276679,9.032608113,-19.52242417,6.662332323,-47.65716593,-3.567031917,-11.40953407,4.724552062,-13.62740369,22.10041986,-19.51021915,11.09369028,6.174444819,7.426866751,4.164999235,10.87525188,-6.631741557,4.811238938,-9.842285435,,
,H,O,8.189210535,4.809361244,-1.196130229,0.154244743,-1.970679025,-2.175034728,-37.59742005,30.61357174,-10.22721272,8.338487212,-12.75271121,2.497919867,-8.572338359,6.260505796,-3.717873339,12.23094698,11.10558235,8.441447436,4.115553292,22.03376172,,
,2H,P,-6.692140716,0.202751839,-16.05557505,-2.710490481,-9.347513053,-22.72577022,-16.03335567,-9.325606622,-12.15153617,-30.73382239,-14.81191569,-9.50304871,-1.512834626,-4.454868254,-3.691585623,-4.895813407,0.108241238,-8.894675838,-8.362662523,-2.697346623,,
,,,,,,,,,,,,,,,,,,,,,,,,
,29,30-,B2--2,,,1,21,29-,D3,P,,,,,,,,,,,,,,
,30,29-,D3,,,2,22,30-,B9--2,P,,,,,,,,,,,,,,
,31,30-,D4--2,,,3,23,32-,2B9--2,P,,,,,,,,,,,,,,
,32,30-,H5--2,,,4,24,30-,C11--2,,,,,,,,,,,,,,,
,,30-,C8--2,,,5,,30-,B11--2,P,,,,,,,,,,,,,,
