no,MOLENAME,Plate location,cas,"Weight, mg",Bioactivity,Formula,MolWt,Status,Reference
1,Ferrous fumarate,1-A2,141-01-5,"125µl,10mMol/L","Iron(II) fumarate, also known as ferrous fumarate, is the iron(II) salt of fumaric acid, occurring as a reddish-orange powder, used to supplement iron intake. ",C4H2FeO4,169.9,"BAN,BP,USP,EP,CP,IP","1. García-Casal MN, Leets I. J Food Sci. 2014 Apr;79(4):H706-12. "
2,Etamsylate,1-A3,2624-44-4,"125µl,10mMol/L","Ethamsylate is a haemostatic drug, which inhibits biosynthesis and action of prostaglandins, and increases capillary endothelial resistance as and platelet adhesion",C10H17NO5S,263.31,"BP,EP,CP","Garay RP, et al. Am J Ther, 2006, 13(3), 236-247."
3,Sodium Nitroprusside,1-A4,14402-89-2,"125µl,10mMol/L",a potent vasodilator working through releasing NO spontaneously in blood,Na2Fe(CN)5NO,261.92,USP,"1. Wink DA, et al. Arch Biochem Biophys, 1996, 331(2), 241-8."
4,Salicylamide,1-A5,65-45-2,"125µl,10mMol/L","Salicylamide is the common name for the substance o-hydroxybenzamide, or amide of salicyl. Salicylamide is a non-prescription drug with analgesic and antipyretic properties. Its medicinal uses are similar to those of aspirin. Salicylamide is used in combination with both aspirin and caffeine in the over-the-counter pain remedies ",C7H7NO2,137.14,"USP, INN, BAN, JAN","1. Manin AN, et al. J Phys Chem B. 2014 Jun 19;118(24):6803-14. "
5,Acetylsalicylic acid,1-A6,50-78-2,"125µl,10mMol/L","Aspirin (Acetylsalicylic acid) is a potent and selective inhibitor of cyclooxygenase (COX) with a broad range of pharmacological activities including anti-inflammation and pain relief. Multiple studies have accumulated sufficient evidence to establish the association between the use of aspirin and a reduced risk of cancers including prostate cancer, breast cancer, colorectal cancer, endometrial cancer, and ovarian cancer. Aspirin suppresses ovarian cancer cells harboring COX-1 by acting as histone deacetylase inhibitors to up-regulate cell cycle arrest protein p21. Aspirin also inhibits the expression of COX-2 in human umbilical vein endothelial cells and neonatal rat ventricular cardiomyocytes resulting in reduced PG production and the down-regulation of ERK and NF-KB respectively.",C9H8O4,180.16,"USP, BAN, JAN","1. Kopp E, et al. Science, 1994, 265(5174), 956-959."
6,Methylene Blue trihydrate,1-A7,7220-79-3,"125µl,10mMol/L","A compound consisting of dark green crystals or crystalline powder, having a bronze-like luster. Solutions in water or alcohol have a deep blue color. Methylene blue is used as a bacteriologic stain and as an indicator. It inhibits GUANYLATE CYCLASE, and has been used to treat cyanide poisoning and to lower levels of METHEMOGLOBIN.",C16H24ClN3O3S,373.9,"USP, INN, BAN","1. Rager T, et al. Phys Chem Chem Phys. 2012 Jun 14;14(22):8074-82. "
7,Atenolol,1-A8,29122-68-7,"125µl,10mMol/L","A cardioselective beta-1 adrenergic blocker possessing properties and potency similar to PROPRANOLOL, but without a negative inotropic effect. ",C14H22N2O3,266.34,"USP, INN, BAN, JAN","1. Nuttall SL, et al. J Clin Pharm Ther. 2003 Jun;28(3):179-86."
8,Phenytoin sodium,1-A9,630-93-3,"125µl,10mMol/L","An anticonvulsant that is used to treat a wide variety of seizures. It is also an anti-arrhythmic and a muscle relaxant. The mechanism of therapeutic action is not clear, although several cellular actions have been described including effects on ion channels, active transport, and general membrane stabilization. The mechanism of its muscle relaxant effect appears to involve a reduction in the sensitivity of muscle spindles to stretch. Phenytoin has been proposed for several other therapeutic uses, but its use has been limited by its many adverse effects and interactions with other drugs.",C15H11N2NaO2,274.25,"USP, JAN","1. Lenkowski PW, et al. Eur J Pharm Sci. 2004 Apr;21(5):635-44. "
9,Flubendazole,1-A10,31430-15-6,"125µl,10mMol/L",Flubendazole is an anthelmintic that is used to treat worm infection in humans. It is available OTC in Europe.,C16H12FN3O3,313.29,"USAN, INN, BAN","1. Hou ZJ, et al. Oncotarget. 2015 Jan 21;6(8):6326-40."
10,Mercaptopurine (6-MP),1-A11,50-44-2,"125µl,10mMol/L",Mercaptopurine is a widely used anti-leukemic agent and immunosuppressive drug that inhibits de novo purine synthesis through incorporation of thiopurine methyltransferase metabolites into DNA and RNA.,C5H4N4S,152.18,"USP, INN, BAN, JAN","1. Dubinsky MC, et al. Clin Gastroenterol Hepatol. 2004 Sep;2(9):731-43. "
11,Phenethyl alcohol,1-B2,22258,"125µl,10mMol/L","An antimicrobial, antiseptic, and disinfectant that is used also as an aromatic essence and preservative in pharmaceutics and perfumery.",C8H10O,122.16,"USP, BAN","1. Lingappa BT, et al. Science. 1969 Jan 10;163(3863):192-4."
12,Cinchonine,1-B3,118-10-5,"125µl,10mMol/L",A local anesthetic of the amide type now generally used for surface anesthesia. It is one of the most potent and toxic of the long-acting local anesthetics and its parenteral use is restricted to spinal anesthesia.,C19H22N2O,294.39,"NF-IX,INN","1. Oka M, et al. Eur J Pharmacol. 2002 Oct 4;452(2):175-81."
13,Mecarbinate,1-B4,15574-49-9,"125µl,10mMol/L",Mecarbinate is a chemical intermediate of arbidol hydrochloride.,C13H15NO3,233.27,INN,"1. Shadurskii KS, et al. Farmakol Toksikol. 1983 Mar-Apr;46(2):115-20."
14,cis-Anethol,1-B5,104-46-1,"125µl,10mMol/L","Extracted from Foeniculum vulgare fruit;Store the product in sealed, cool and dry condition",C10H12O,148.2,BP,"1. Shimoni E, et al. J Biol Chem. 2002 Apr 5;277(14):11866-72."
15,Mephenesin,1-B6,59-47-2,"125µl,10mMol/L","Mephenesin is a centrally acting muscle relaxant. It can be used as an antidote for strychnine poisoning. Mephenesin however presents with the major drawbacks of having a short duration of action and a much greater effect on the spinal cord than the brain, resulting in pronounced respiratory depression at clinical doses and therefore a very low therapeutic index. It is especially dangerous and potentially fatal in combination with alcohol and other depressants. ",C10H14O3,182.22,"NF-XII, INN, BAN",1. Prescrire Int. 2013 May;22(138):127-8.
16,Mexenone,1-B7,1641-17-4,"125µl,10mMol/L","Mexenone (Uvistat, benzophenone-10) is a benzophenone-derived sunscreening agent.",C15H14O3,242.28,"INN, BAN","1. Torres V, Correia T. Contact Dermatitis. 1991 Aug;25(2):126-7."
17,Phenolphthalein,1-B8,28376,"125µl,10mMol/L","An acid-base indicator which is colorless in acid solution, but turns pink to red as the solution becomes alkaline. It is used medicinally as a cathartic. ",C20H14O4,318.33,USP-XXIII,"1. Uesawa Y, et al. Arch Toxicol. 2007 Mar;81(3):163-8. "
18,Procainamide HCl,1-B9,614-39-1,"125µl,10mMol/L",Procainamide hydrochloride is a class Ia antiarrhythmic drug that is structurally-related to PROCAINE.,C13H21N3O.HCl,271.79,"USP, INN, BAN, JAN","1. Wojnarowska Z, et al. J Chem Phys. 2012 Apr 28;136(16):164507. "
19,Betaine HCl,1-B10,590-46-5,"125µl,10mMol/L","A naturally occurring compound that has been of interest for its role in osmoregulation. As a drug, betaine hydrochloride has been used as a source of hydrochloric acid in the treatment of hypochlorhydria. Betaine has also been used in the treatment of liver disorders, for hyperkalemia, for homocystinuria, and for gastrointestinal disturbances. ",C5H12ClNO2,153.61,USP,1. Lee I. Biochem Biophys Res Commun. 2015 Jan 9;456(2):621-5. 
20,Sodium 4-Aminosalicylate,1-B11,6018-19-5,"125µl,10mMol/L",Sodium 4-Aminosalicylate is an antibiotic used to treat tuberculosis via NF-?B inhibition and free radical scavenging.,C7H6NNaO3.2H2O,211.15,USP,"1. Dinis TC, et al. Arch Biochem Biophys, 1994, 315(1), 161-169."
21,Vanatone,1-C2,70-70-2,"125µl,10mMol/L",It is a substrate of An arylketone monooxygenase  purified from Pseudomonas putida JD1 by ion exchange and affinity chromatography.,C9H10O2,150.17,INN,"1. Cizmáriková R, Kozlovský J. Ceska Slov Farm. 1994 Oct;43(5):226-8."
22,Taurine,1-C3,107-35-7,"125µl,10mMol/L","A conditionally essential nutrient, important during mammalian development. It is present in milk but is isolated mostly from ox bile and strongly conjugates bile acids. ",C2H7NO3S,125.15,"USP, INN, JAN","1. Huxtable RJ. Prog Neurobiol, 1989, 32(6), 471-533."
23,Valethamate bromide,1-C4,90-22-2,"125µl,10mMol/L",anticholinergic agent,C19H32BrNO2,386.37,USP,"1. Köstü B, et al. J Obstet Gynaecol. 2015 Aug 11:1-4."
24,Primidone,1-C5,125-33-7,"125µl,10mMol/L",An antiepileptic agent related to the barbiturates; it is partly metabolized to PHENOBARBITAL in the body and owes some of its actions to this metabolite. Adverse effects are reported to be more frequent than with PHENOBARBITAL.,C12H14N2O2,218.26,"USP, INN, BAN, JAN","1. Yamakura T, et al. Annu Rev Pharmacol Toxicol. 2001;41:23-51. "
25,Haloperidol,1-C6,52-86-8,"125µl,10mMol/L","Haloperidol has been found to be highlt potent neuroleptic by relieving nervous through the depression of nerve function. Besides, Haloperidol has shown about 50-fold potency than chiorpromazine, the other antipsychotic drug. Haloperidol has shown beneficial effects in the treatment of delusions and hallucinations. These effects are mainly achieved through blockage of dopamine receptors in the mesocortex and limbic system. ",C21H23ClFNO2,375.87,"USP, INN, BAN, JAN","1. Cai G, et al. Mol Pharmacol. 1999 Nov;56(5):989-96."
26,Sulfalen,1-C7,152-47-6,"125µl,10mMol/L","Sulfalene is a long-acting sulfonamide antibiotic used for the treatment of chronic bronchitis, urinary tract infections and malaria.",C11H12N4O3S,280.3,"INN, USAN","1. Brumfitt W, Hamilton-Miller JM. J Chemother. 1993 Dec;5(6):465-9"
27,Octisalate,1-C8,118-60-5,"125µl,10mMol/L","Octyl salicylate, or 2-ethylhexyl salicylate, is an organic compound used as an ingredient in sunscreens and cosmetics to absorb UVB (ultraviolet) rays from the sun.[1] It is an ester formed by the condensation of a salicylic acid with 2-ethylhexanol. It is a colorless oily liquid with a slight floral odor.
The salicylate portion of the molecule absorbs ultraviolet light, protecting skin from the harmful effects of exposure to sunlight. The ethylhexanol portion is a fatty alcohol, adding emollient and oil-like (water resistant) properties.",C15H22O3,250.34,INN,"1. Singh M, Beck MH. Contact Dermatitis. 2007 Jan;56(1):48. "
28,Buxamine,1-C9,924-49-2,"125µl,10mMol/L","Agent for improving learning or memory [US6803366]Gamma Hydroxybutyric Acid, commonly abbreviated GHB, is a therapeutic drug which is illegal in multiple countries. It is currently regulated in the US and sold by Jazz Pharmaceuticals under the name Xyrem.",C4H9NO3,119.12,JAN,"1. Candela M, et al. J Chromatogr A. 2000 Aug 25;890(2):273-80. "
29,Procaine,1-C10,59-46-1,"125µl,10mMol/L","Procaine is a local anesthetic drug of the amino ester group, which acts through multiple targets",C13H20N2O2,236.32,"USP, JAN","1. Flonta ML, et al. Arch Int Physiol Biochim. 1985 Sep;93(3):223-9."
30,Bupivacaine HCl,1-C11,18010-40-7,"125µl,10mMol/L","Bupivacaine HCl binds to the intracellular portion of voltage-gated sodium channels and blocks sodium influx into nerve cells, used for treating cardiac arrhythmias. Bupivacaine Hydrochloride is a local anaesthetic drug belonging to the amino amide group.",C18H28N2O.HCl,324.89,"USP, INN, BAN, JAN","1. Sheets MF, et al. Trends Cardiovasc Med. 2010 Jan;20(1):16-21. "
31,Ziprasidone HCl monohydrate,1-D2,138982-67-9,"125µl,10mMol/L","Ziprasidone (marketed as Geodon, Zeldox) was the fifth atypical antipsychotic to gain FDA approval (February 2001). Ziprasidone is Food and Drug Administration (FDA) approved for the treatment of schizophrenia, and the intramuscular injection form of ziprasidone is approved for acute agitation in schizophrenic patients. Ziprasidone has also received approval for acute treatment of mania associated with bipolar disorder.",C21H21ClN4OS·HCl.H2O,449.39,USAN,"1. Seeger TF, et al. J Pharmacol Exp Ther. 1995 Oct;275(1):101-13. "
32,DL-Xylose,1-D3,25990-60-7,"125µl,10mMol/L",Xylose is a sugar first isolated from wood.  Xylose is classified as a monosaccharide of the aldopentose type.,C5H10O5,150.13,USP,"1. Buskas T, et al. Glycobiology. 2006 Aug;16(8):113R-136R. "
33,Miltefosine,1-D4,58066-85-6,"125µl,10mMol/L","Miltefosine is used for the treatment of visceral and cutaneous leishmaniasis, and is undergoing clinical trials for this use in several other countries. Several medical agents have some efficacy against visceral or cutaneous leishmaniasis, however a 2005 survey concluded that miltefosine is the only effective oral treatment for both forms of leishmaniasis.",C21H46NO4P.xH2O,407.58,"INN, BAN","1. Uberall F, et al. Cancer Res, 1991, 51(3), 807-812."
34,Cortisone acetate,1-D5,18357,"125µl,10mMol/L","Cortisone acetate is a steroid hormone that has both glucocoriticoid and mineral corticoid activities. Corticosteroids are used to provide relief for inflamed areas of the body. They lessen swelling, redness, itching, and allergic reactions. They are often used as part of the treatment for a number of different diseases, such as severe allergies or skin problems, asthma, or arthritis. Endogenous glucocorticoids and some synthetic corticoids have high affinity to the protein transcortin (also called CBG, corticosteroid- binding protein), whereas all of them bind albumin. Glucocorticoids also bind to the cytosolic glucocorticoid receptor.",C23H30O6,402.49,"USP, INN, BAN, JAN","1. Grossman R, et al. Ann N Y Acad Sci. 2006, 1071:410-21."
