Sequence,RawData,Position384,OriginalSequence
DMSO,35.0371,Plate 1 A2,DMSO
1,42.345,Plate 1 C2,DMSO
9,76.008,Plate 1 E2,DMSO
17,38.2102,Plate 1 G2,DMSO
25,33.956,Plate 1 I2,DMSO
33,33.7907,Plate 1 K2,DMSO
41,38.9343,Plate 1 M2,DMSO
49,33.4261,Plate 1 O2,DMSO
57,34.9095,Plate 1 A3,1
65,32.4689,Plate 1 C3,2
73,30.5454,Plate 1 E3,3
81,167.9905,Plate 1 G3,4
89,29.0847,Plate 1 I3,5
97,26.6732,Plate 1 K3,6
105,29.3554,Plate 1 M3,7
113,28.3177,Plate 1 O3,8
121,28.3121,Plate 1 A4,9
129,23.0949,Plate 1 C4,10
137,23.1702,Plate 1 E4,11
145,30.5319,Plate 1 G4,12
153,34.4835,Plate 1 I4,13
161,27.4373,Plate 1 K4,14
169,28.6266,Plate 1 M4,15
177,25.5832,Plate 1 O4,16
185,28.029,Plate 1 A5,17
193,40.5833,Plate 1 C5,18
201,23.1093,Plate 1 E5,19
209,24.3605,Plate 1 G5,20
217,23.1921,Plate 1 I5,21
225,35.8071,Plate 1 K5,22
233,30.3691,Plate 1 M5,23
241,24.0144,Plate 1 O5,24
249,22.7571,Plate 1 A6,25
257,27.7923,Plate 1 C6,26
265,22.7094,Plate 1 E6,27
273,22.6369,Plate 1 G6,28
281,22.0344,Plate 1 I6,29
289,23.3306,Plate 1 K6,30
297,23.3227,Plate 1 M6,31
305,24.5679,Plate 1 O6,32
313,25.0245,Plate 1 A7,33
DMSO,22.7435,Plate 1 C7,34
321,28.0878,Plate 1 E7,35
329,27.8596,Plate 1 G7,36
337,27.0114,Plate 1 I7,37
345,23.931,Plate 1 K7,38
353,23.2049,Plate 1 M7,39
361,23.8221,Plate 1 O7,40
369,31.8777,Plate 1 A8,41
377,23.1283,Plate 1 C8,42
385,21.062,Plate 1 E8,43
393,22.891,Plate 1 G8,44
401,23.193,Plate 1 I8,45
409,29.1529,Plate 1 K8,46
417,475.7572,Plate 1 M8,47
425,67.6961,Plate 1 O8,48
433,29.36,Plate 1 A9,49
441,25.513,Plate 1 C9,50
449,23.4888,Plate 1 E9,51
457,23.3536,Plate 1 G9,52
465,22.9805,Plate 1 I9,53
473,80.2323,Plate 1 K9,54
481,25.1181,Plate 1 M9,55
489,23.2925,Plate 1 O9,56
497,24.7451,Plate 1 A10,57
505,24.037,Plate 1 C10,58
513,25.1814,Plate 1 E10,59
521,25.4439,Plate 1 G10,60
529,26.2405,Plate 1 I10,61
537,31.2815,Plate 1 K10,62
545,23.3326,Plate 1 M10,63
553,24.2743,Plate 1 O10,64
561,28.3294,Plate 1 A11,65
